поблизости,nearby
кафе,cafe
брат,brother
меню,menu
бублик,bagel
телефон,phone
ресторан,restaurant
"слева",on the left
"справа",on the right
ванная,bathroom
банкомат,ATM
подарок,gift
порода,breed
аптека,pharmacy
прямо,straight
вперед,ahead
"прямо вперед",straight ahead
змея,snake
маленький,little
футбол,soccer
извините,sorry
добрый,kind
ужин,dinner
удачливый,lucky
извини,sorry
действительно,really
понимать,understand
часто,often
плавать,swim
иногда,sometimes
хорошо,well
каждый,every
также,also
готовить,cook
петь,sing
воскресенье,sunday
суббота,saturday
дочь,daughter
играть,play
хоккей,hockey
воскресенье,sunday
суббота,saturday
танцы,dances
муж,husband
сосед,neighbour
встреча,appointment
четверг,thursday
воскресенье,sunday
завтра,tomorrow
позже,later
гулять,walk
трудный,difficult
ошибка,mistake
по-прежнему,still
неправильный,wrong
быстро,quickly
часы,watches
паспорт,passport
турист,tourist
сок,juice
помидор,tomato
томатный сок,tomato juice
посадочный талон,boarding pass
ноутбук,laptop
аэропорт,airport
зарядка,charge
скучный,boring
странный,strange
рейс,flight
ручная кладь,carry-on
тяжелый,heavy
уродливый,ugly
посадочный талон,boarding pass
вовремя,on time
журнал,magazine
одеяло,blanket
место,seat
взволнованный,excited
нервный,nervous
срок,term
дорогой,expensive
красивый,beautiful
скучать,miss
same
бронь,reservation
room
