Translation,word,plural
Хлеб, bread,
Рис, rice,
Паста, pasta,
Соль, salt,
Чипсы, chips,
Перец, pepper,
Мясо, meat,
Рыба, fish,
Вегетарианец, vegetarian,
Сахар, sugar,
Чай, tea,
Кофе, coffee,
Гамбургеры, hamburgers,
Хот-доги, hot dogs,
Пиццы, pizzas,
Овощи, vegetables,
Фрукты, fruit,
Морковь, carrots,
Бобы, beans,
Картофель, potatoes,
Помидоры, tomatoes,
Горошек, peas,
Лук, onions,
Чеснок, garlic,
Грибы, mushrooms,
Апельсин, orange,
Банан, banana,
Груша, pear,
Виноград, grapes,
Клубника, strawberries,
Ананас, pineapple,
Чай, tea,
Молоко, milk,
Фруктовый сок, fruit juice,
Пиво, beer,
Вино, wine,
Минеральная вода, mineral water,
